school,age,address,famsize,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Pstatus_A,Pstatus_T,Gvg,Avgalc,Bum
0,15,0,1,1,1,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,4.0,1.5,10.0
0,16,0,1,2,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,12.5,1.0,41.0
0,18,0,1,4,3,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,13.5,1.0,6.0
0,17,1,1,2,2,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,6.5,1.5,37.0
0,18,0,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,8.5,1.0,15.0
0,17,0,1,4,4,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,9.5,2.0,20.5
0,15,0,1,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,13.5,2.0,15.0
0,17,0,1,1,1,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,5.5,1.0,9.0
0,15,1,1,3,4,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,6.0,2.0,12.0
0,19,0,1,2,1,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,11.5,2.0,17.0
0,17,0,1,2,4,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,16.5,2.5,12.0
1,18,1,1,2,2,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,9.5,2.0,12.0
0,17,0,0,2,2,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,11.5,2.0,30.0
0,16,0,1,4,4,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,14.0,1.0,9.0
1,19,1,1,2,3,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,6.0,1.5,11.0
1,19,0,0,3,2,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,7.0,1.0,17.0
0,16,0,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,11.5,3.0,93.0
0,15,0,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,11.5,4.0,24.0
0,15,0,1,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,15.5,1.5,11.0
1,17,0,1,2,2,1,3,0,0,0,0,1,1,1,0,1,3,4,3,1,1,3,8,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,12.0,1.0,20.0
0,16,0,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,9.0,5.0,28.0
0,16,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,11.5,2.5,29.0
0,15,0,1,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,10.5,1.0,21.0
0,17,0,1,4,4,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,18.0,2.5,49.0
0,18,0,1,3,2,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,13.0,2.5,21.5
0,18,0,1,2,1,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,2,1,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,8.0,1.5,9.0
0,17,0,1,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,5.5,1.0,15.0
0,18,0,0,1,1,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,11.0,1.0,12.0
0,15,0,1,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,7.5,1.0,16.0
0,18,0,1,2,2,1,3,0,0,1,1,1,1,1,1,1,4,3,3,1,1,3,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,9.5,1.0,7.0
0,16,0,1,4,4,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,13.0,1.0,7.0
